"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total"
17420,2,"Cleveland, TN",5,5,51069,51069,0.882990889350683,0.882990889350683
17500,2,"Clewiston, FL",3,3,14222,14222,0.418277315448755,0.418277315448755
17540,1,"Clinton, IA",14,14,38453,38453,0.439826138789231,0.439826138789231
17580,2,"Clovis, NM",9,9,52086,52086,0.58585535971762,0.58585535971762
17650,1,"Cody, WY",3,3,16906,16906,0.506623838265962,0.506623838265962
17660,1,"Coeur d'Alene, ID",14,14,132895,132895,0.301336676360104,0.301336676360104
17740,1,"Coldwater, MI",5,21,19758,48544,0.522089860446333,0.114520616557177
17780,3,"College Station-Bryan, TX",12,12,221744,221744,0.447310463265117,0.447310463265117
17820,2,"Colorado Springs, CO",11,11,542983,542983,0.798114763594621,0.798114763594621
17860,3,"Columbia, MO",24,24,155020,155020,0.674686487321707,0.674686487321707
17900,6,"Columbia, SC",30,30,259747,259747,0.302632563933481,0.302632563933481
17980,7,"Columbus, GA-AL",15,15,262600,262600,0.635858290897342,0.635858290897342
18020,1,"Columbus, IN",6,18,53796,136269,0.885290883566988,0.285969415536933
18060,2,"Columbus, MS",7,7,28999,28999,0.657205572254441,0.657205572254441
18100,2,"Columbus, NE",15,32,34776,44695,0.517834488089774,0.320741002762493
18140,10,"Columbus, OH",99,256,1630868,2561437,0.316883839960048,0.131307568195251
18180,1,"Concord, NH",2,27,52834,155238,0.721658969452447,0.110210605069239
18220,1,"Connersville, IN",1,10,13310,36670,1,0.270589035129241
18260,4,"Cookeville, TN",8,8,53954,53954,0.44766502283067,0.44766502283067
18300,1,"Coos Bay-North Bend, OR",7,7,38653,38653,0.265351839003877,0.265351839003877
18340,4,"Corbin, KY",5,5,24990,24990,0.247876959507292,0.247876959507292
18380,1,"Cordele, GA",2,2,10500,10500,0.91691493877551,0.91691493877551
18420,1,"Corinth, MS",5,5,17226,17226,0.711780895090407,0.711780895090407
18460,1,"Cornelia, GA",7,7,15028,15028,0.210713304998091,0.210713304998091
18500,1,"Corning, NY",15,47,37639,111689,0.162826606686172,0.0451943888439045
18580,3,"Corpus Christi, TX",21,21,404613,404613,0.622224406509871,0.622224406509871
18620,1,"Corsicana, TX",18,18,33530,33530,0.571001789709133,0.571001789709133
18660,1,"Cortland, NY",4,19,22295,51386,0.620343151911958,0.165295783165967
18700,1,"Corvallis, OR",4,4,67148,67148,0.802136720107842,0.802136720107842
18740,1,"Coshocton, OH",6,28,14697,40272,0.594368230499403,0.106947079486035
18820,1,"Crawfordsville, IN",11,22,21768,59831,0.574727475070035,0.258746068673956
18860,1,"Crescent City, CA",1,1,6676,6676,1,1
18880,2,"Crestview-Fort Walton Beach-Destin, FL",12,12,102418,102418,0.169606256918151,0.169606256918151
18900,1,"Crossville, TN",3,3,13534,13534,0.826129274734443,0.826129274734443
18980,1,"Cullman, AL",12,12,29502,29502,0.421861426790225,0.421861426790225
19060,2,"Cumberland, MD-WV",12,12,36764,36764,0.31845840224813,0.31845840224813
19100,11,"Dallas-Fort Worth-Arlington, TX",201,201,7084182,7084182,0.0638092248994258,0.0638092248994258
19140,2,"Dalton, GA",6,6,43841,43841,0.627206799651665,0.627206799651665
19180,1,"Danville, IL",21,40,52426,125521,0.323097532715505,0.122545567293992
19220,2,"Danville, KY",6,6,25082,25082,0.506810685431491,0.506810685431491
19260,2,"Danville, VA",4,4,45949,45949,0.846279293133716,0.846279293133716
19300,1,"Daphne-Fairhope-Foley, AL",14,14,133357,133357,0.135599216362219,0.135599216362219
19340,4,"Davenport-Moline-Rock Island, IA-IL",55,112,328817,536215,0.145971957574713,0.0662931651324721
19430,3,"Dayton-Kettering-Beavercreek, OH",41,74,618583,1015805,0.0851939230890747,0.0449034383040063
19460,2,"Decatur, AL",12,12,88003,88003,0.467238713423833,0.467238713423833
19500,1,"Decatur, IL",12,28,89000,191432,0.619914858224971,0.208984964000189
19540,1,"Decatur, IN",4,16,16231,52192,0.448167462702067,0.114658606571416
19580,1,"Defiance, OH",4,16,21492,59636,0.650427927700902,0.157695539201151
19620,1,"Del Rio, TX",1,1,34584,34584,1,1
19660,2,"Deltona-Daytona Beach-Ormond Beach, FL",21,21,551236,551236,0.110570348417891,0.110570348417891
19700,1,"Deming, NM",2,2,16294,16294,0.836951272304629,0.836951272304629
19740,10,"Denver-Aurora-Centennial, CO",45,45,2326229,2326229,0.142355597854248,0.142355597854248
19760,1,"DeRidder, LA",2,2,10702,10702,0.837147704861919,0.837147704861919
19780,6,"Des Moines-West Des Moines, IA",74,74,639676,639676,0.147412293851937,0.147412293851937
