r,obs,mmean,lo,hi,cbsa,gamma
250,2.0930184363480623e-5,7.64491664529761e-6,5.789141333725178e-6,9.827447954960268e-6,31140,1.1102736408520355e-5
500,2.8536212615162356e-5,8.464539969965734e-6,5.655022406165252e-6,1.1443159251695051e-5,31140,1.7093053363467305e-5
1000,2.9953290012819067e-5,1.364639510531262e-5,1.115297358045682e-5,1.7693227903852394e-5,31140,1.2260062108966673e-5
0,4.07672571523216e-5,2.1424888638919455e-5,1.768702398926374e-5,2.5496784241815942e-5,27260,1.5270472910505655e-5
250,8.276457277073175e-6,5.137699285410725e-6,4.2946089761032574e-6,5.727023583698346e-6,27260,2.549433693374829e-6
500,7.514265241646303e-6,4.696694988485748e-6,3.949428786776994e-6,5.995311328842005e-6,27260,1.5189539128042975e-6
1000,1.0458885647844613e-5,7.899584420473975e-6,6.585342403374794e-6,9.425292863632219e-6,27260,1.0335927842123942e-6
0,3.6220893879667146e-5,1.889313402992771e-5,1.5173534149741863e-5,2.3962489531217393e-5,15380,1.2258404348449753e-5
250,2.5272177062544525e-5,7.773787380896143e-6,6.529992241953116e-6,9.825968793456146e-6,15380,1.5446208269088378e-5
500,2.7855551192547994e-5,7.34857065751245e-6,5.312057521505806e-6,1.0580757458743083e-5,15380,1.727479373380491e-5
1000,3.2943414023802146e-5,1.0250666749449057e-5,7.347694793971628e-6,1.3488140787632991e-5,15380,1.9455273236169153e-5
0,4.777498388758741e-5,2.3337699585158518e-5,2.0345258855446266e-5,2.68545267589617e-5,40060,2.092045712862571e-5
250,1.346850098423679e-5,6.286694622258281e-6,5.2966500524529205e-6,7.612110416953517e-6,40060,5.856390567283274e-6
500,2.2186299968760047e-5,9.789735864234168e-6,7.959238138277487e-6,1.1867622426399142e-5,40060,1.0318677542360906e-5
1000,2.089621822425251e-5,1.0935110498069126e-5,8.916899717662346e-6,1.2825794627231176e-5,40060,8.070423597021333e-6
0,2.642424752504757e-5,2.7051237920216286e-5,1.816107902891178e-5,4.0819261975411243e-5,46140,0
250,1.6760896521942173e-5,1.060217246636004e-5,7.181967369624103e-6,1.4638272596225999e-5,46140,2.122623925716174e-6
500,1.603610373043892e-5,7.294094506668109e-6,4.884048110605913e-6,9.742371335629374e-6,46140,6.293732394809544e-6
1000,1.9592069489214938e-5,1.1979593193745606e-5,9.57303926441357e-6,1.5360529780348824e-5,46140,4.231539708866114e-6
0,7.812413651215923e-5,6.92506960574349e-5,6.271594507033998e-5,7.497089811352395e-5,14500,3.15323839863528e-6
250,6.348924020663498e-5,3.290460488630283e-5,2.6392713199495386e-5,3.9089080171260924e-5,14500,2.4400160035374055e-5
500,7.170441413562365e-5,4.436990554000851e-5,3.94401158893288e-5,5.172518958893025e-5,14500,1.99792245466934e-5
1000,5.8216507882865585e-5,5.2609540523527396e-5,4.832178392618242e-5,5.7488721684413295e-5,14500,7.277861984522895e-7
0,3.396267004039591e-5,1.886279226254511e-5,1.4970900879407782e-5,2.273097679745652e-5,36420,1.1231693242939394e-5
250,1.2754465484156442e-5,5.828373779692657e-6,4.756859858613582e-6,7.166838513238795e-6,36420,5.587626970917647e-6
500,1.0573145067903708e-5,4.67489822416606e-6,3.5644384157696423e-6,6.347021321593996e-6,36420,4.226123746309711e-6
1000,1.1521495001278211e-5,8.237093890717635e-6,6.097948809946291e-6,1.0405632740838263e-5,36420,1.1158622604399477e-6
0,1.1702471046725119e-4,3.1682718350837154e-5,2.4145706830444164e-5,3.816064002880581e-5,19430,7.886407043844538e-5
250,2.9274774055145503e-5,8.953467788351473e-6,7.4246159648439336e-6,1.0997856538393425e-5,19430,1.8276917516752078e-5
500,2.3310805681330305e-5,9.025987730486717e-6,7.118773316274287e-6,1.1228439888183826e-5,19430,1.2082365793146479e-5
1000,3.636513634912711e-5,1.2922208082033077e-5,1.0613176492696597e-5,1.564954928366588e-5,19430,2.0715587065461233e-5
0,4.411349778633022e-5,4.816040937647492e-5,4.1125970992462924e-5,5.398025673638677e-5,37100,0
250,1.3552253863970029e-5,1.5416209541953944e-5,1.2654476350719623e-5,1.7783255547499966e-5,37100,0
500,1.7200834500887793e-5,2.586223650868576e-5,2.1549332287109462e-5,3.107117064249021e-5,37100,0
1000,1.992898335704137e-5,2.257683917793093e-5,1.8393040931092393e-5,2.6841054762202825e-5,37100,0
0,8.379836941891114e-5,2.0147483636952686e-5,1.6036990574441257e-5,2.542632847784313e-5,49340,5.8372040941068e-5
250,2.7014685820284605e-5,7.90064367362748e-6,6.259898742886955e-6,9.611907194440297e-6,49340,1.740277862584431e-5
500,1.0918996513935337e-5,4.708796573122692e-6,3.1909746077461263e-6,6.338642972092647e-6,49340,4.58035354184269e-6
1000,2.405984230365071e-5,7.262112168813373e-6,5.2315061831376826e-6,9.406320775127275e-6,49340,1.4653521528523436e-5
0,1.1788544526577092e-4,6.721022333064356e-5,5.743253813504139e-5,8.108981343688383e-5,39340,3.679563182888709e-5
250,1.518795805456024e-5,8.916351146353657e-6,7.416030824850122e-6,1.0324689793822703e-5,39340,4.863268260737536e-6
500,3.0516483572560044e-5,1.6441647460797033e-5,1.3393884480534637e-5,1.996016670690772e-5,39340,1.0556316865652324e-05
1000,3.505378493515975e-5,2.391723851514725e-5,2.087034193931572e-5,2.7349072861916762e-05,39340,7.704712073242987e-6
0,3.62215641302786e-5,2.71565259511175e-5,1.9975020563612795e-5,3.684719345084586e-5,10420,0
250,1.7576843227417117e-5,9.93656284512056e-6,7.71964042493646e-6,1.329227758397985e-5,10420,4.284565643437266e-6
500,1.2287748837824632e-5,7.3791099789044505e-6,4.856815316646876e-6,1.0457186671823363e-5,10420,1.8305621660012698e-6
1000,1.4638786517744215e-5,1.5130218399320365e-5,1.170091078618977e-5,1.9540682718424816e-5,10420,0
0,2.5793858216157647e-5,2.42977578569969e-5,1.7823735593645954e-5,3.2901952696439935e-5,24860,0
250,1.3968652125493067e-5,9.622670214574401e-6,7.603491119074356e-6,1.2453812436572943e-5,24860,1.5148396889201237e-6
500,1.7433802123612198e-5,5.566440130455469e-6,3.673117546308701e-6,7.920181048004426e-6,24860,9.513621075607773e-6
1000,1.974708244671354e-5,8.61721806808358e-6,5.959927779316694e-6,1.2607494719995525e-5,24860,7.139587726718017e-6
0,7.395688561172986e-5,2.9605266168977177e-5,2.520088688893805e-5,3.612727665813225e-5,31540,3.782960895359761e-5
250,3.054689007992371e-5,1.0926134903627184e-5,8.711379735863004e-6,1.30204430571326e-5,31540,1.7526447022791106e-5
500,4.389750742995791e-5,1.6341666715622087e-5,1.343212343369816e-5,2.0316047000268308e-5,31540,2.3581460429689604e-5
1000,3.4348060164265284e-5,1.443706902361059e-5,1.2002028622307181e-5,1.7226094240373576e-5,31540,1.7121965923891708e-5
0,5.2091966645755736e-5,1.903122764230027e-5,1.5167730288627088e-5,2.33037025690307e-5,13820,2.8788264076725035e-5
